Permalink,Handle,Name,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Price,Image Src,Image Position,Image Alt Text,Gift Card
,ocean-blue-shirt,Ocean Blue Shirt,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns. ,partners-demo,,men,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE
,classic-varsity-top,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",partners-demo,,women,TRUE,Size,Small,00060,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,1,,FALSE
,classic-varsity-top,,,,,,,,Medium,00060,,,,
,classic-varsity-top,,,,,,,,Large,00060,,,,
,yellow-wool-jumper,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall. ,partners-demo,,women,TRUE,Title,Default Title,00080,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,1,,FALSE
,floral-white-top,Floral White Top,Stylish sleeveless white top with a floral pattern. ,partners-demo,,women,TRUE,Title,Default Title,00075,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,1,,FALSE
,striped-silk-blouse,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants. ,partners-demo,,women,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,1,,FALSE
,classic-leather-jacket,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ",partners-demo,,women,TRUE,Title,Default Title,00080,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,1,,FALSE
,dark-denim-top,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",partners-demo,,women,TRUE,Title,Default Title,00060,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,1,,FALSE
,navy-sport-jacket,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",partners-demo,,men,TRUE,Title,Default Title,00060,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,1,,FALSE
,dark-winter-jacket,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",partners-demo,,women,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,1,,FALSE
,black-leather-bag,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. ",partners-demo,,women,TRUE,Title,Default Title,00030,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,1,,FALSE
,zipped-jacket,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,partners-demo,,men,TRUE,Title,Default Title,00065,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,1,,FALSE
,silk-summer-top,Silk Summer Top,Silk womens top with short sleeves and number pattern.,partners-demo,,women,TRUE,Title,Default Title,00070,https://burst.shopifycdn.com/photos/young-hip-woman-at-carnival_925x.jpg,1,,FALSE
,longsleeve-cotton-top,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem. ",partners-demo,,women,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/woman-outside-brownstone_925x.jpg,1,,FALSE
,chequered-red-shirt,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",partners-demo,,men,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/red-plaid-shirt_925x.jpg,1,,FALSE
,white-cotton-shirt,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket. ,partners-demo,,women,TRUE,Title,Default Title,00030,https://burst.shopifycdn.com/photos/smiling-woman-poses_925x.jpg,1,,FALSE
,olive-green-jacket,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,partners-demo,,women,TRUE,Title,Default Title,00065,https://burst.shopifycdn.com/photos/urban-fashion_925x.jpg,1,,FALSE
,blue-silk-tuxedo,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,partners-demo,,men,TRUE,Title,Default Title,00070,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,1,,FALSE
,red-sports-tee,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,partners-demo,,women,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/womens-red-t-shirt_925x.jpg,1,,FALSE
,striped-skirt-and-top,Striped Skirt and Top,Black cotton top with matching striped skirt. ,partners-demo,,women,TRUE,Title,Default Title,00050,https://burst.shopifycdn.com/photos/woman-in-the-city_925x.jpg,1,,FALSE
,led-high-tops,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle. ",partners-demo,,men,TRUE,Title,Default Title,00080,https://burst.shopifycdn.com/photos/putting-on-your-shoes_925x.jpg,1,,FALSE
